Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std
google-auth-oauthlib,https://pypi.org/project/google-auth-oauthlib/,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib,pypi,0.06777493606138106,0.014492753623188406,0.9855072463768116,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.17279838115484947
kiwisolver,https://pypi.org/project/kiwisolver/,https://github.com/nucleic/kiwi,pypi,0.08019713261648746,0.005376344086021506,0.9946236559139785,0.005376344086021506,0.005376344086021506,0.010752688172043012,0.22114424851520195
portalocker,https://pypi.org/project/portalocker/,https://github.com/wolph/portalocker/,pypi,0.06538839724680433,0.004424778761061947,0.995575221238938,0.004424778761061947,0.004424778761061947,0.017699115044247787,0.2268538015709021
ptyprocess,https://pypi.org/project/ptyprocess/,https://github.com/pexpect/ptyprocess,pypi,0.11156186612576065,0.017241379310344827,0.9827586206896551,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.24355134369166956
jaraco.classes,https://pypi.org/project/jaraco.classes/,https://github.com/jaraco/jaraco.classes,pypi,0.0709075487701442,0.002544529262086514,0.9974554707379135,0.002544529262086514,0.002544529262086514,0.005089058524173028,0.24833504798158398
dill,https://pypi.org/project/dill/,https://github.com/uqfoundation/dill,pypi,0.030900787095520358,0.00199203187250996,0.99800796812749,0.00199203187250996,0.00199203187250996,0.00398406374501992,0.15401339928232355
pydantic-core,https://pypi.org/project/pydantic-core/,https://github.com/pydantic/pydantic-core,pypi,0.035920194204217874,0.0019723865877712033,0.9980276134122288,0.0019723865877712033,0.0019723865877712033,0.005917159763313609,0.14124818731251132
pyrsistent,https://pypi.org/project/pyrsistent/,https://github.com/tobgu/pyrsistent/,pypi,0.02309777112576352,0.002386634844868735,0.9976133651551312,0.002386634844868735,0.002386634844868735,0.007159904534606206,0.1284246073019195
grpcio-tools,https://pypi.org/project/grpcio-tools/,https://github.com/grpc/grpc/tree/master/tools/distrib/python/grpcio_tools,pypi,0.05021729008225981,0.011330125717833307,0.9968958559677169,0.005742666459723731,0.011330125717833307,0.04004345801645196,0.12150868468627202
gitdb,https://pypi.org/project/gitdb/,https://github.com/gitpython-developers/gitdb,pypi,0.0539021164021164,0.004464285714285714,0.9955357142857143,0.004464285714285714,0.004464285714285714,0.017857142857142856,0.18697143755432089
pycryptodomex,https://pypi.org/project/pycryptodomex/,https://github.com/Legrandin/pycryptodome/,pypi,0.013668711656441719,0.0006134969325153375,0.9993865030674847,0.0006134969325153375,0.0006134969325153375,0.001226993865030675,0.10183772189302609
sqlparse,https://pypi.org/project/sqlparse/,https://github.com/andialbrecht/sqlparse,pypi,0.022205306655067418,0.001652892561983471,0.9983471074380166,0.001652892561983471,0.001652892561983471,0.0049586776859504135,0.11782809041087869
msrest,https://pypi.org/project/msrest/,https://github.com/Azure/msrest-for-python,pypi,0.04375857338820302,0.003703703703703704,0.9962962962962963,0.003703703703703704,0.003703703703703704,0.007407407407407408,0.18768690706090324
azure-common,https://pypi.org/project/azure-common/,https://github.com/Azure/azure-sdk-for-python,pypi,0.06370481927710843,0.01957831325301205,0.9944779116465864,0.010542168674698794,0.01957831325301205,0.05773092369477912,0.1372855033075105
