Name,Package URL,Github,ecosystem
cliui,https://www.npmjs.com/package/cliui,https://github.com/yargs/cliui,npm
mocha,https://www.npmjs.com/package/mocha,https://github.com/mochajs/mocha,npm
yaml,https://www.npmjs.com/package/yaml,https://github.com/eemeli/yaml,npm
@types/express,https://www.npmjs.com/package/%40types%2Fexpress,https://github.com/DefinitelyTyped/DefinitelyTyped,npm
http-proxy,https://www.npmjs.com/package/http-proxy,https://github.com/http-party/node-http-proxy,npm
browserslist,https://www.npmjs.com/package/browserslist,https://github.com/browserslist/browserslist,npm
css-loader,https://www.npmjs.com/package/css-loader,https://github.com/webpack-contrib/css-loader,npm
styled-components,https://www.npmjs.com/package/styled-components,https://github.com/styled-components/styled-components,npm
@babel/preset-env,https://www.npmjs.com/package/%40babel%2Fpreset-env,https://github.com/babel/babel,npm
regenerator-runtime,https://www.npmjs.com/package/regenerator-runtime,https://github.com/facebook/regenerator/tree/main,npm
html-webpack-plugin,https://www.npmjs.com/package/html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,npm
mongoose,https://www.npmjs.com/package/mongoose,https://github.com/Automattic/mongoose,npm
handlebars,https://www.npmjs.com/package/handlebars,https://github.com/handlebars-lang/handlebars.js,npm
https-proxy-agent,https://www.npmjs.com/package/https-proxy-agent,https://github.com/TooTallNate/proxy-agents,npm
pg,https://www.npmjs.com/package/pg,https://github.com/brianc/node-postgres,npm
js-cookie,https://www.npmjs.com/package/js-cookie,https://github.com/js-cookie/js-cookie,npm
sass,https://www.npmjs.com/package/sass,https://github.com/sass/dart-sass,npm
brace-expansion,https://www.npmjs.com/package/brace-expansion,https://github.com/juliangruber/brace-expansion,npm
dayjs,https://www.npmjs.com/package/dayjs,https://github.com/iamkun/dayjs,npm
socket.io,https://www.npmjs.com/package/socket.io,https://github.com/socketio/socket.io,npm
slash,https://www.npmjs.com/package/slash,https://github.com/sindresorhus/slash,npm
nopt,https://www.npmjs.com/package/nopt,https://github.com/npm/nopt,npm
base64-js,https://www.npmjs.com/package/base64-js,https://github.com/beatgammit/base64-js,npm
got,https://www.npmjs.com/package/got,https://github.com/sindresorhus/got,npm
expect,https://www.npmjs.com/package/expect,https://github.com/jestjs/jest,npm
express-session,https://www.npmjs.com/package/express-session,https://github.com/expressjs/session,npm
punycode,https://www.npmjs.com/package/punycode,https://github.com/mathiasbynens/punycode.js,npm
jsonfile,https://www.npmjs.com/package/jsonfile,https://github.com/jprichardson/node-jsonfile,npm
nodemailer,https://www.npmjs.com/package/nodemailer,https://github.com/nodemailer/nodemailer,npm
escodegen,https://www.npmjs.com/package/escodegen,https://github.com/estools/escodegen,npm
fast-glob,https://www.npmjs.com/package/fast-glob,https://github.com/mrmlnc/fast-glob,npm
raw-body,https://www.npmjs.com/package/raw-body,https://github.com/stream-utils/raw-body,npm
resolve-from,https://www.npmjs.com/package/resolve-from,https://github.com/sindresorhus/resolve-from,npm
yallist,https://www.npmjs.com/package/yallist,https://github.com/isaacs/yallist,npm
style-loader,https://www.npmjs.com/package/style-loader,https://github.com/webpack-contrib/style-loader,npm
get-stream,https://www.npmjs.com/package/get-stream,https://github.com/sindresorhus/get-stream,npm
webpack-merge,https://www.npmjs.com/package/webpack-merge,https://github.com/survivejs/webpack-merge,npm
isarray,https://www.npmjs.com/package/isarray,https://github.com/juliangruber/isarray,npm
pretty-format,https://www.npmjs.com/package/pretty-format,https://github.com/jestjs/jest,npm
helmet,https://www.npmjs.com/package/helmet,https://github.com/helmetjs/helmet,npm
make-dir,https://www.npmjs.com/package/make-dir,https://github.com/sindresorhus/make-dir,npm
deep-equal,https://www.npmjs.com/package/deep-equal,https://github.com/inspect-js/node-deep-equal,npm
eslint-config-prettier,https://www.npmjs.com/package/eslint-config-prettier,https://github.com/prettier/eslint-config-prettier,npm
protobufjs,https://www.npmjs.com/package/protobufjs,https://github.com/protobufjs/protobuf.js,npm
del,https://www.npmjs.com/package/del,https://github.com/sindresorhus/del,npm
sinon,https://www.npmjs.com/package/sinon,https://github.com/sinonjs/sinon,npm
ignore,https://www.npmjs.com/package/ignore,https://github.com/kaelzhang/node-ignore,npm
superagent,https://www.npmjs.com/package/superagent,https://github.com/ladjs/superagent,npm
util,https://www.npmjs.com/package/util,https://github.com/browserify/node-util,npm
gulp,https://www.npmjs.com/package/gulp,https://github.com/gulpjs/gulp,npm
jsesc,https://www.npmjs.com/package/jsesc,https://github.com/mathiasbynens/jsesc,npm
globby,https://www.npmjs.com/package/globby,https://github.com/sindresorhus/globby,npm
react-transition-group,https://www.npmjs.com/package/react-transition-group,https://github.com/reactjs/react-transition-group,npm
type-fest,https://www.npmjs.com/package/type-fest,https://github.com/sindresorhus/type-fest,npm
webpack-dev-server,https://www.npmjs.com/package/webpack-dev-server,https://github.com/webpack/webpack-dev-server,npm
color-name,https://www.npmjs.com/package/color-name,https://github.com/colorjs/color-name,npm
entities,https://www.npmjs.com/package/entities,https://github.com/fb55/entities,npm
moment-timezone,https://www.npmjs.com/package/moment-timezone,https://github.com/moment/moment-timezone,npm
react-is,https://www.npmjs.com/package/react-is,https://github.com/facebook/react,npm
prompts,https://www.npmjs.com/package/prompts,https://github.com/terkelg/prompts,npm
string-width,https://www.npmjs.com/package/string-width,https://github.com/sindresorhus/string-width,npm
is-number,https://www.npmjs.com/package/is-number,https://github.com/jonschlinkert/is-number,npm
on-finished,https://www.npmjs.com/package/on-finished,https://github.com/jshttp/on-finished,npm
babel-jest,https://www.npmjs.com/package/babel-jest,https://github.com/jestjs/jest,npm
connect,https://www.npmjs.com/package/connect,https://github.com/senchalabs/connect,npm
is-stream,https://www.npmjs.com/package/is-stream,https://github.com/sindresorhus/is-stream,npm
lodash.merge,https://www.npmjs.com/package/lodash.merge,https://github.com/lodash/lodash,npm
pako,https://www.npmjs.com/package/pako,https://github.com/nodeca/pako,npm
archiver,https://www.npmjs.com/package/archiver,https://github.com/archiverjs/node-archiver,npm
fast-deep-equal,https://www.npmjs.com/package/fast-deep-equal,https://github.com/epoberezkin/fast-deep-equal,npm
signal-exit,https://www.npmjs.com/package/signal-exit,https://github.com/tapjs/signal-exit,npm
reflect-metadata,https://www.npmjs.com/package/reflect-metadata,https://github.com/rbuckton/reflect-metadata,npm
anymatch,https://www.npmjs.com/package/anymatch,https://github.com/micromatch/anymatch,npm
markdown-it,https://www.npmjs.com/package/markdown-it,https://github.com/markdown-it/markdown-it,npm
invariant,https://www.npmjs.com/package/invariant,https://github.com/zertosh/invariant,npm
less,https://www.npmjs.com/package/less,https://github.com/less/less.js,npm
bl,https://www.npmjs.com/package/bl,https://github.com/rvagg/bl,npm
string_decoder,https://www.npmjs.com/package/string_decoder,https://github.com/nodejs/string_decoder,npm
npmlog,https://www.npmjs.com/package/npmlog,https://github.com/npm/npmlog,npm
emoji-regex,https://www.npmjs.com/package/emoji-regex,https://github.com/mathiasbynens/emoji-regex,npm
has,https://www.npmjs.com/package/has,https://github.com/tarruda/has,npm
tough-cookie,https://www.npmjs.com/package/tough-cookie,https://github.com/salesforce/tough-cookie,npm
husky,https://www.npmjs.com/package/husky,https://github.com/typicode/husky,npm
inherits,https://www.npmjs.com/package/inherits,https://github.com/isaacs/inherits,npm
dateformat,https://www.npmjs.com/package/dateformat,https://github.com/felixge/node-dateformat,npm
json-stringify-safe,https://www.npmjs.com/package/json-stringify-safe,https://github.com/isaacs/json-stringify-safe,npm
bytes,https://www.npmjs.com/package/bytes,https://github.com/visionmedia/bytes.js,npm
sax,https://www.npmjs.com/package/sax,https://github.com/isaacs/sax-js,npm
@typescript-eslint/parser,https://www.npmjs.com/package/%40typescript-eslint%2Fparser,https://github.com/typescript-eslint/typescript-eslint,npm
nan,https://www.npmjs.com/package/nan,https://github.com/nodejs/nan,npm
globals,https://www.npmjs.com/package/globals,https://github.com/sindresorhus/globals,npm
long,https://www.npmjs.com/package/long,https://github.com/dcodeIO/long.js,npm
file-type,https://www.npmjs.com/package/file-type,https://github.com/sindresorhus/file-type,npm
md5,https://www.npmjs.com/package/md5,https://github.com/pvorb/node-md5,npm
jest-cli,https://www.npmjs.com/package/jest-cli,https://github.com/jestjs/jest,npm
process,https://www.npmjs.com/package/process,https://github.com/shtylman/node-process,npm
puppeteer,https://www.npmjs.com/package/puppeteer,https://github.com/puppeteer/puppeteer/tree/main,npm
p-locate,https://www.npmjs.com/package/p-locate,https://github.com/sindresorhus/p-locate,npm
pm2,https://www.npmjs.com/package/pm2,https://github.com/Unitech/pm2,npm
svgo,https://www.npmjs.com/package/svgo,https://github.com/svg/svgo,npm
postcss-loader,https://www.npmjs.com/package/postcss-loader,https://github.com/webpack-contrib/postcss-loader,npm
balanced-match,https://www.npmjs.com/package/balanced-match,https://github.com/juliangruber/balanced-match,npm
meow,https://www.npmjs.com/package/meow,https://github.com/sindresorhus/meow,npm
busboy,https://www.npmjs.com/package/busboy,https://github.com/mscdex/busboy,npm
eslint-config-airbnb,https://www.npmjs.com/package/eslint-config-airbnb,https://github.com/airbnb/javascript,npm
multer,https://www.npmjs.com/package/multer,https://github.com/expressjs/multer,npm
run-parallel,https://www.npmjs.com/package/run-parallel,https://github.com/feross/run-parallel,npm
redis,https://www.npmjs.com/package/redis,https://github.com/redis/node-redis,npm
mz,https://www.npmjs.com/package/mz,https://github.com/normalize/mz,npm
cli-spinners,https://www.npmjs.com/package/cli-spinners,https://github.com/sindresorhus/cli-spinners,npm
fast-levenshtein,https://www.npmjs.com/package/fast-levenshtein,https://github.com/hiddentao/fast-levenshtein,npm
y18n,https://www.npmjs.com/package/y18n,https://github.com/yargs/y18n,npm
@types/react-dom,https://www.npmjs.com/package/%40types%2Freact-dom,https://github.com/DefinitelyTyped/DefinitelyTyped,npm
sharp,https://www.npmjs.com/package/sharp,https://github.com/lovell/sharp,npm
koa,https://www.npmjs.com/package/koa,https://github.com/koajs/koa,npm
whatwg-url,https://www.npmjs.com/package/whatwg-url,https://github.com/jsdom/whatwg-url,npm
end-of-stream,https://www.npmjs.com/package/end-of-stream,https://github.com/mafintosh/end-of-stream,npm
pify,https://www.npmjs.com/package/pify,https://github.com/sindresorhus/pify,npm
file-loader,https://www.npmjs.com/package/file-loader,https://github.com/webpack-contrib/file-loader,npm
onetime,https://www.npmjs.com/package/onetime,https://github.com/sindresorhus/onetime,npm
lodash-es,https://www.npmjs.com/package/lodash-es,https://github.com/lodash/lodash,npm
parse-json,https://www.npmjs.com/package/parse-json,https://github.com/sindresorhus/parse-json,npm
acorn,https://www.npmjs.com/package/acorn,https://github.com/acornjs/acorn,npm
figures,https://www.npmjs.com/package/figures,https://github.com/sindresorhus/figures,npm
@typescript-eslint/eslint-plugin,https://www.npmjs.com/package/%40typescript-eslint%2Feslint-plugin,https://github.com/typescript-eslint/typescript-eslint,npm
lodash.debounce,https://www.npmjs.com/package/lodash.debounce,https://github.com/lodash/lodash,npm
strip-json-comments,https://www.npmjs.com/package/strip-json-comments,https://github.com/sindresorhus/strip-json-comments,npm
content-type,https://www.npmjs.com/package/content-type,https://github.com/jshttp/content-type,npm
finalhandler,https://www.npmjs.com/package/finalhandler,https://github.com/pillarjs/finalhandler,npm
glob-parent,https://www.npmjs.com/package/glob-parent,https://github.com/gulpjs/glob-parent,npm
promise,https://www.npmjs.com/package/promise,https://github.com/then/promise,npm
mime-db,https://www.npmjs.com/package/mime-db,https://github.com/jshttp/mime-db,npm
query-string,https://www.npmjs.com/package/query-string,https://github.com/sindresorhus/query-string,npm
esbuild,https://www.npmjs.com/package/esbuild,https://github.com/evanw/esbuild,npm
rc,https://www.npmjs.com/package/rc,https://github.com/dominictarr/rc,npm
locate-path,https://www.npmjs.com/package/locate-path,https://github.com/sindresorhus/locate-path,npm
wrap-ansi,https://www.npmjs.com/package/wrap-ansi,https://github.com/chalk/wrap-ansi,npm
espree,https://www.npmjs.com/package/espree,https://github.com/eslint/espree,npm
etag,https://www.npmjs.com/package/etag,https://github.com/jshttp/etag,npm
inflight,https://www.npmjs.com/package/inflight,https://github.com/npm/inflight,npm
he,https://www.npmjs.com/package/he,https://github.com/mathiasbynens/he,npm
ipaddr.js,https://www.npmjs.com/package/ipaddr.js,https://github.com/whitequark/ipaddr.js,npm
convert-source-map,https://www.npmjs.com/package/convert-source-map,https://github.com/thlorenz/convert-source-map,npm
react-select,https://www.npmjs.com/package/react-select,https://github.com/JedWatson/react-select/tree/master,npm
tmp,https://www.npmjs.com/package/tmp,https://github.com/raszi/node-tmp,npm
is-glob,https://www.npmjs.com/package/is-glob,https://github.com/micromatch/is-glob,npm
wrappy,https://www.npmjs.com/package/wrappy,https://github.com/npm/wrappy,npm
write-file-atomic,https://www.npmjs.com/package/write-file-atomic,https://github.com/npm/write-file-atomic,npm
leven,https://www.npmjs.com/package/leven,https://github.com/sindresorhus/leven,npm
image-size,https://www.npmjs.com/package/image-size,https://github.com/image-size/image-size,npm
js-tokens,https://www.npmjs.com/package/js-tokens,https://github.com/lydell/js-tokens,npm
is-plain-object,https://www.npmjs.com/package/is-plain-object,https://github.com/jonschlinkert/is-plain-object,npm
node-sass,https://www.npmjs.com/package/node-sass,https://github.com/sass/node-sass,npm
doctrine,https://www.npmjs.com/package/doctrine,https://github.com/eslint/doctrine,npm
parseurl,https://www.npmjs.com/package/parseurl,https://github.com/pillarjs/parseurl,npm
@babel/types,https://www.npmjs.com/package/%40babel%2Ftypes,https://github.com/babel/babel,npm
magic-string,https://www.npmjs.com/package/magic-string,https://github.com/rich-harris/magic-string,npm
ioredis,https://www.npmjs.com/package/ioredis,https://github.com/luin/ioredis,npm
log4js,https://www.npmjs.com/package/log4js,https://github.com/log4js-node/log4js-node,npm
methods,https://www.npmjs.com/package/methods,https://github.com/jshttp/methods,npm
url,https://www.npmjs.com/package/url,https://github.com/defunctzombie/node-url,npm
d3,https://www.npmjs.com/package/d3,https://github.com/d3/d3,npm
eslint-plugin-prettier,https://www.npmjs.com/package/eslint-plugin-prettier,https://github.com/prettier/eslint-plugin-prettier,npm
json5,https://www.npmjs.com/package/json5,https://github.com/json5/json5,npm
diff,https://www.npmjs.com/package/diff,https://github.com/kpdecker/jsdiff,npm
decamelize,https://www.npmjs.com/package/decamelize,https://github.com/sindresorhus/decamelize,npm
pluralize,https://www.npmjs.com/package/pluralize,https://github.com/blakeembrey/pluralize,npm
ua-parser-js,https://www.npmjs.com/package/ua-parser-js,https://github.com/faisalman/ua-parser-js,npm
type-check,https://www.npmjs.com/package/type-check,https://github.com/gkz/type-check,npm
path-key,https://www.npmjs.com/package/path-key,https://github.com/sindresorhus/path-key,npm
cross-fetch,https://www.npmjs.com/package/cross-fetch,https://github.com/lquixada/cross-fetch,npm
url-parse,https://www.npmjs.com/package/url-parse,https://github.com/unshiftio/url-parse,npm
concat-stream,https://www.npmjs.com/package/concat-stream,https://github.com/maxogden/concat-stream,npm
pump,https://www.npmjs.com/package/pump,https://github.com/mafintosh/pump,npm
@angular/core,https://www.npmjs.com/package/%40angular%2Fcore,https://github.com/angular/angular,npm
concat-map,https://www.npmjs.com/package/concat-map,https://github.com/ljharb/concat-map,npm
hoist-non-react-statics,https://www.npmjs.com/package/hoist-non-react-statics,https://github.com/mridgway/hoist-non-react-statics,npm
@babel/parser,https://www.npmjs.com/package/%40babel%2Fparser,https://github.com/babel/babel,npm
merge2,https://www.npmjs.com/package/merge2,https://github.com/teambition/merge2,npm
fs.realpath,https://www.npmjs.com/package/fs.realpath,https://github.com/isaacs/fs.realpath,npm
json-schema-traverse,https://www.npmjs.com/package/json-schema-traverse,https://github.com/epoberezkin/json-schema-traverse,npm
strip-bom,https://www.npmjs.com/package/strip-bom,https://github.com/sindresorhus/strip-bom,npm
pino,https://www.npmjs.com/package/pino,https://github.com/pinojs/pino,npm
fast-xml-parser,https://www.npmjs.com/package/fast-xml-parser,https://github.com/NaturalIntelligence/fast-xml-parser,npm
log-symbols,https://www.npmjs.com/package/log-symbols,https://github.com/sindresorhus/log-symbols,npm
