Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
eslint-plugin-jest,https://www.npmjs.com/package/eslint-plugin-jest,https://github.com/jest-community/eslint-plugin-jest,npm,37,true,true,false,false,true,false,false
concurrently,https://www.npmjs.com/package/concurrently,https://github.com/open-cli-tools/concurrently,npm,50,true,true,false,true,true,false,false
esutils,https://www.npmjs.com/package/esutils,https://github.com/estools/esutils,npm,37,true,true,false,false,true,false,false
update-notifier,https://www.npmjs.com/package/update-notifier,https://github.com/yeoman/update-notifier,npm,62,true,true,false,true,true,false,false
pino,https://www.npmjs.com/package/pino,https://github.com/pinojs/pino,npm,62,true,true,false,true,true,false,false
content-disposition,https://www.npmjs.com/package/content-disposition,https://github.com/jshttp/content-disposition,npm,37,true,true,false,false,true,false,false
cron,https://www.npmjs.com/package/cron,https://github.com/kelektiv/node-cron,npm,37,true,true,false,false,true,false,false
range-parser,https://www.npmjs.com/package/range-parser,https://github.com/jshttp/range-parser,npm,37,true,true,false,false,true,false,false
negotiator,https://www.npmjs.com/package/negotiator,https://github.com/jshttp/negotiator,npm,37,true,true,false,false,true,false,false
ts-loader,https://www.npmjs.com/package/ts-loader,https://github.com/TypeStrong/ts-loader,npm,50,true,true,false,true,true,false,false
http-server,https://www.npmjs.com/package/http-server,https://github.com/http-party/http-server,npm,87,true,true,true,true,true,true,false
vary,https://www.npmjs.com/package/vary,https://github.com/jshttp/vary,npm,37,true,true,false,false,true,false,false
next,https://www.npmjs.com/package/next,https://github.com/vercel/next.js,npm,87,true,true,true,true,true,true,false
history,https://www.npmjs.com/package/history,https://github.com/remix-run/history,npm,50,true,true,false,true,true,false,false
i18next,https://www.npmjs.com/package/i18next,https://github.com/i18next/i18next,npm,62,true,true,false,true,true,true,false
react-native,https://www.npmjs.com/package/react-native,https://github.com/facebook/react-native,npm,87,true,true,true,true,true,true,false
terser,https://www.npmjs.com/package/terser,https://github.com/terser/terser,npm,50,true,true,false,true,true,false,false
express-validator,https://www.npmjs.com/package/express-validator,https://github.com/express-validator/express-validator,npm,62,true,true,false,true,true,true,false
codemirror,https://www.npmjs.com/package/codemirror,https://github.com/codemirror/basic-setup,npm,37,true,true,false,false,true,false,false
karma,https://www.npmjs.com/package/karma,https://github.com/karma-runner/karma,npm,87,true,true,true,true,true,false,false
tsconfig-paths,https://www.npmjs.com/package/tsconfig-paths,https://github.com/dividab/tsconfig-paths,npm,37,true,true,false,false,true,false,false
eslint-scope,https://www.npmjs.com/package/eslint-scope,https://github.com/eslint/eslint-scope,npm,75,true,true,true,true,true,false,false
tailwindcss,https://www.npmjs.com/package/tailwindcss,https://github.com/tailwindlabs/tailwindcss,npm,75,true,true,true,true,true,true,false
mini-css-extract-plugin,https://www.npmjs.com/package/mini-css-extract-plugin,https://github.com/webpack-contrib/mini-css-extract-plugin,npm,62,true,true,false,true,true,true,false
yarn,https://www.npmjs.com/package/yarn,https://github.com/yarnpkg/yarn,npm,87,true,true,true,true,true,true,false
fsevents,https://www.npmjs.com/package/fsevents,https://github.com/fsevents/fsevents,npm,37,true,true,false,false,true,false,false
assert,https://www.npmjs.com/package/assert,https://github.com/browserify/commonjs-assert,npm,50,true,true,false,false,true,false,false
proxy-addr,https://www.npmjs.com/package/proxy-addr,https://github.com/jshttp/proxy-addr,npm,37,true,true,false,false,true,false,false
picomatch,https://www.npmjs.com/package/picomatch,https://github.com/micromatch/picomatch,npm,75,true,true,true,true,true,false,false
is-glob,https://www.npmjs.com/package/is-glob,https://github.com/micromatch/is-glob,npm,75,true,true,true,true,true,false,false
