Name,Package URL,Github,Downloads
ruamel.yaml,https://pypi.org/project/ruamel.yaml/,https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree,33158372
gitdb,https://pypi.org/project/gitdb/,https://github.com/gitpython-developers/gitdb,32897735
pycryptodomex,https://pypi.org/project/pycryptodomex/,https://github.com/Legrandin/pycryptodome/,32873686
sqlparse,https://pypi.org/project/sqlparse/,https://github.com/andialbrecht/sqlparse,32815922
msrest,https://pypi.org/project/msrest/,https://github.com/Azure/msrest-for-python,32199981
azure-common,https://pypi.org/project/azure-common/,https://github.com/Azure/azure-sdk-for-python,32045707
google-crc32c,https://pypi.org/project/google-crc32c/,https://github.com/googleapis/python-crc32c,31797809
sagemaker,https://pypi.org/project/sagemaker/,https://github.com/aws/sagemaker-python-sdk/,31795798
tenacity,https://pypi.org/project/tenacity/,https://github.com/jd/tenacity,31709562
prompt-toolkit,https://pypi.org/project/prompt-toolkit/,https://github.com/prompt-toolkit/python-prompt-toolkit,31428648
google-cloud-bigquery,https://pypi.org/project/google-cloud-bigquery/,https://github.com/googleapis/python-bigquery,31370306
tzdata,https://pypi.org/project/tzdata/,https://github.com/python/tzdata,30856155
snowflake-connector-python,https://pypi.org/project/snowflake-connector-python/,https://github.com/snowflakedb/snowflake-connector-python,30452090
gunicorn,https://pypi.org/project/gunicorn/,https://github.com/benoitc/gunicorn,30345757
Cython,https://pypi.org/project/Cython/,https://github.com/cython/cython,30339492
py4j,https://pypi.org/project/py4j/,https://www.py4j.org/,30272022
py,https://pypi.org/project/py/,https://py.readthedocs.io/,29910632
Markdown,https://pypi.org/project/Markdown/,https://Python-Markdown.github.io/,29868385
azure-identity,https://pypi.org/project/azure-identity/,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/identity/azure-identity,29864348
httplib2,https://pypi.org/project/httplib2/,https://github.com/httplib2/httplib2,29569551
poetry-plugin-export,https://pypi.org/project/poetry-plugin-export/,https://python-poetry.org/,29566161
future,https://pypi.org/project/future/,https://python-future.org,29494819
fonttools,https://pypi.org/project/fonttools/,http://github.com/fonttools/fonttools,29301013
alembic,https://pypi.org/project/alembic/,https://github.com/sqlalchemy/alembic/,29273565
markdown-it-py,https://pypi.org/project/markdown-it-py/,https://github.com/executablebooks/markdown-it-py,29164804
CacheControl,https://pypi.org/project/CacheControl/,https://github.com/psf/cachecontrol,29123289
awswrangler,https://pypi.org/project/awswrangler/,https://aws-sdk-pandas.readthedocs.io/,29010040
rich,https://pypi.org/project/rich/,https://github.com/Textualize/rich,28914442
msal-extensions,https://pypi.org/project/msal-extensions/,https://github.com/AzureAD/microsoft-authentication-extensions-for-python/releases,28885090
tornado,https://pypi.org/project/tornado/,https://github.com/tornadoweb/tornado,28681458
threadpoolctl,https://pypi.org/project/threadpoolctl/,https://github.com/joblib/threadpoolctl,28562572
jedi,https://pypi.org/project/jedi/,https://github.com/davidhalter/jedi,28476792
marshmallow,https://pypi.org/project/marshmallow/,https://github.com/marshmallow-code/marshmallow,28094638
google-auth-httplib2,https://pypi.org/project/google-auth-httplib2/,https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2,28001962
traitlets,https://pypi.org/project/traitlets/,https://github.com/ipython/traitlets,27773835
cloudpickle,https://pypi.org/project/cloudpickle/,https://github.com/cloudpipe/cloudpickle,27640838
shellingham,https://pypi.org/project/shellingham/,https://github.com/sarugaku/shellingham,27552898
redis,https://pypi.org/project/redis/,https://github.com/redis/redis-py,27430796
pycodestyle,https://pypi.org/project/pycodestyle/,https://pycodestyle.pycqa.org/,27399744
backoff,https://pypi.org/project/backoff/,https://github.com/litl/backoff,27335584
python-dotenv,https://pypi.org/project/python-dotenv/,https://github.com/theskumar/python-dotenv,27134484
scramp,https://pypi.org/project/scramp/,https://github.com/tlocke/scramp,27021899
nest-asyncio,https://pypi.org/project/nest-asyncio/,https://github.com/erdewit/nest_asyncio,26908360
toml,https://pypi.org/project/toml/,https://github.com/uiri/toml,26660309
h11,https://pypi.org/project/h11/,https://github.com/python-hyper/h11,26568762
pytest-cov,https://pypi.org/project/pytest-cov/,https://github.com/pytest-dev/pytest-cov,26521057
termcolor,https://pypi.org/project/termcolor/,https://github.com/termcolor/termcolor,26488081
trove-classifiers,https://pypi.org/project/trove-classifiers/,https://github.com/pypa/trove-classifiers,26385329
uritemplate,https://pypi.org/project/uritemplate/,https://uritemplate.readthedocs.org,26368263
ipython,https://pypi.org/project/ipython/,https://github.com/ipython/ipython,26165613
pyzmq,https://pypi.org/project/pyzmq/,https://github.com/zeromq/pyzmq,26133275
networkx,https://pypi.org/project/networkx/,https://github.com/networkx/networkx,25821063
xmltodict,https://pypi.org/project/xmltodict/,https://github.com/martinblech/xmltodict,25628261
uvicorn,https://pypi.org/project/uvicorn/,https://github.com/encode/uvicorn,24465977
pyspark,https://pypi.org/project/pyspark/,https://github.com/apache/spark/tree/master/python,24347052
pg8000,https://pypi.org/project/pg8000/,https://github.com/tlocke/pg8000,24279810
cycler,https://pypi.org/project/cycler/,https://matplotlib.org/cycler/,24239305
mccabe,https://pypi.org/project/mccabe/,https://github.com/pycqa/mccabe,24222923
ply,https://pypi.org/project/ply/,http://www.dabeaz.com/ply/,24198461
