Name,Package URL,Github, Dependent Packages Count
org.springframework.data:spring-data-releasetrain,https://github.com/SpringData/spring-data-build,https://github.com/SpringData/spring-data-build,64
io.vavr:vavr,https://www.vavr.io,https://github.com/vavr-io/vavr,672
org.openapitools:jackson-databind-nullable,https://github.com/OpenAPITools/jackson-databind-nullable,https://github.com/OpenAPITools/jackson-databind-nullable,272
net.sf.supercsv:super-csv,https://github.com/super-csv/super-csv,https://github.com/super-csv/super-csv,232
org.codehaus.plexus:plexus-component-annotations,https://codehaus-plexus.github.io/,https://github.com/codehaus-plexus/plexus-containers,741
org.jboss:jandex,http://www.jboss.org,https://github.com/jboss/jboss-parent-pom,345
org.mvel:mvel2,http://mvel.codehaus.org/,https://github.com/mvel/mvel,424
org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven,http://www.jboss.org,https://github.com/shrinkwrap/resolver,334
org.drools:drools-compiler,http://www.drools.org,https://github.com/kiegroup/drools,428
com.github.spotbugs:spotbugs-annotations,https://spotbugs.github.io/,https://github.com/spotbugs/spotbugs,1524
com.twilio.sdk:twilio,https://www.twilio.com,https://github.com/twilio/twilio-java,25
com.google.firebase:firebase-admin,https://firebase.google.com/,https://github.com/firebase/firebase-admin-java,50
com.samskivert:jmustache,http://github.com/samskivert/jmustache,https://github.com/samskivert/jmustache,158
org.apache.rocketmq:rocketmq-client,http://rocketmq.apache.org/,https://github.com/apache/rocketmq,173
com.microsoft.azure:azure-storage,https://github.com/Azure/azure-storage-java,https://github.com/Azure/azure-storage-java,188
org.glassfish:javax.faces,https://github.com/javaserverfaces/mojarra,https://github.com/javaserverfaces/mojarra,149
org.rocksdb:rocksdbjni,https://rocksdb.org,https://github.com/facebook/rocksdb,364
org.jacoco:jacoco-maven-plugin,https://www.jacoco.org/jacoco/trunk/doc/maven.html,https://github.com/jacoco/jacoco,83
org.apache.maven:maven-archiver,https://maven.apache.org/shared/,https://github.com/apache/maven-archiver,389
com.vaadin:vaadin-themes,https://vaadin.com/,https://github.com/vaadin/framework,117
software.amazon.awssdk:s3,https://aws.amazon.com/sdkforjava,https://github.com/aws/aws-sdk-java-v2,364
org.java-websocket:Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,371
org.springframework.data:spring-data-solr,https://github.com/spring-projects/spring-data-solr,https://github.com/spring-projects/spring-data-solr,60
com.qcloud:cos_api,https://github.com/tencentyun/cos-java-sdk-v5,https://github.com/tencentyun/cos-java-sdk-v5,133
org.checkerframework:checker-qual,https://checkerframework.org/,https://github.com/typetools/checker-framework,1647
io.fabric8:kubernetes-client,https://github.com/fabric8io/kubernetes-client,https://github.com/fabric8io/kubernetes-client,430
org.influxdb:influxdb-java,http://www.influxdb.org,https://github.com/influxdata/influxdb-java,304
net.serenity-bdd:serenity-core,https://serenity-bdd.github.io/,https://github.com/serenity-bdd/serenity-core,55
com.makeramen:roundedimageview,https://github.com/vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,31
com.github.springtestdbunit:spring-test-dbunit,https://springtestdbunit.github.com/spring-test-dbunit,https://github.com/springtestdbunit/spring-test-dbunit,72
com.icegreen:greenmail,https://greenmail-mail-test.github.io/greenmail/,https://github.com/greenmail-mail-test/greenmail,218
org.apache.sshd:sshd-core,https://www.apache.org/,https://github.com/apache/mina-sshd,457
com.carrotsearch:hppc,https://github.com/carrotsearch/hppc,https://github.com/carrotsearch/hppc,344
dnsjava:dnsjava,https://github.com/dnsjava/dnsjava,https://github.com/dnsjava/dnsjava,291
org.antlr:antlr-runtime,http://www.antlr.org,https://github.com/antlr/antlr3,622
com.karumi:dexter,https://github.com/karumi/Dexter,https://github.com/karumi/Dexter,26
com.github.axet:kaptcha,https://github.com/axet/kaptcha,https://github.com/axet/kaptcha,42
org.xmlunit:xmlunit-core,https://www.xmlunit.org/,https://github.com/xmlunit/xmlunit,459
com.github.docker-java:docker-java,https://github.com/docker-java/docker-java,https://github.com/docker-java/docker-java,288
io.minio:minio,https://github.com/minio/minio-java,https://github.com/minio/minio-java,248
com.mcxiaoke.volley:library,https://github.com/mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley,64
com.nostra13.universalimageloader:universal-image-loader,https://github.com/nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,42
com.hazelcast:hazelcast-hibernate53,http://www.hazelcast.com/,https://github.com/hazelcast/hazelcast-hibernate,51
org.apache.ftpserver:ftpserver-core,https://mina.apache.org/ftpserverproject,https://github.com/apache/mina-ftpserver,142
com.maxmind.geoip2:geoip2,https://dev.maxmind.com/geoip?lang=en,https://github.com/maxmind/GeoIP2-java,104
com.mangofactory:swagger-springmvc,https://github.com/martypitt/swagger-springmvc,https://github.com/martypitt/swagger-springmvc,23
org.apache.flink:flink-java,https://flink.apache.org,https://github.com/apache/flink,325
io.quarkus.platform:quarkus-bom,https://github.com/quarkusio/quarkus-platform,https://github.com/quarkusio/quarkus-platform,43
org.ops4j.pax.url:pax-url-aether,https://ops4j1.jira.com/wiki/spaces/paxurl/overview,https://github.com/ops4j/org.ops4j.pax.url,505
io.insert-koin:koin-android,https://insert-koin.io/,https://github.com/InsertKoinIO/koin,68
org.uncommons:reportng,http://reportng.uncommons.org,https://github.com/dwdyer/reportng,65
jakarta.activation:jakarta.activation-api,https://github.com/jakartaee/jaf-api,https://github.com/jakartaee/jaf-api,1200
org.codehaus.groovy.modules.http-builder:http-builder,http://groovy.codehaus.org/modules/http-builder/,https://github.com/jgritman/httpbuilder,141
org.antlr:ST4,http://nexus.sonatype.org/oss-repository-hosting.html,https://github.com/antlr/stringtemplate4,456
org.springframework.data:spring-data-cassandra,https://github.com/spring-projects/spring-data-cassandra/tree/master/spring-data-cassandra,https://github.com/spring-projects/spring-data-cassandra,77
org.jmock:jmock-junit4,http://nexus.sonatype.org/oss-repository-hosting.html,https://github.com/jmock-developers/jmock-library,801
com.google.api.grpc:proto-google-common-protos,https://github.com/googleapis/sdk-platform-java,https://github.com/googleapis/sdk-platform-java,1022
