Name,Package URL,Github,ecosystem,goodFirstIssue
@babel/core,https://www.npmjs.com/package/%40babel%2Fcore,https://github.com/babel/babel,npm,true
color-convert,https://www.npmjs.com/package/color-convert,https://github.com/Qix-/color-convert,npm,false
npm,https://www.npmjs.com/package/npm,https://github.com/npm/cli,npm,true
nanoid,https://www.npmjs.com/package/nanoid,https://github.com/ai/nanoid,npm,false
clone,https://www.npmjs.com/package/clone,https://github.com/pvorb/node-clone,npm,false
ts-node,https://www.npmjs.com/package/ts-node,https://github.com/TypeStrong/ts-node,npm,false
redux,https://www.npmjs.com/package/redux,https://github.com/reduxjs/redux,npm,false
yargs-parser,https://www.npmjs.com/package/yargs-parser,https://github.com/yargs/yargs-parser,npm,false
ip,https://www.npmjs.com/package/ip,https://github.com/indutny/node-ip,npm,false
react-redux,https://www.npmjs.com/package/react-redux,https://github.com/reduxjs/react-redux,npm,false
nodemon,https://www.npmjs.com/package/nodemon,https://github.com/remy/nodemon,npm,false
eventemitter3,https://www.npmjs.com/package/eventemitter3,https://github.com/primus/eventemitter3,npm,false
htmlparser2,https://www.npmjs.com/package/htmlparser2,https://github.com/fb55/htmlparser2,npm,false
extend,https://www.npmjs.com/package/extend,https://github.com/justmoon/node-extend,npm,false
@types/react,https://www.npmjs.com/package/%40types%2Freact,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,false
q,https://www.npmjs.com/package/q,https://github.com/kriskowal/q,npm,false
crypto-js,https://www.npmjs.com/package/crypto-js,https://github.com/brix/crypto-js,npm,false
@babel/runtime,https://www.npmjs.com/package/%40babel%2Fruntime,https://github.com/babel/babel,npm,true
immutable,https://www.npmjs.com/package/immutable,https://github.com/immutable-js/immutable-js,npm,false
sprintf-js,https://www.npmjs.com/package/sprintf-js,https://github.com/alexei/sprintf.js,npm,false
safe-buffer,https://www.npmjs.com/package/safe-buffer,https://github.com/feross/safe-buffer,npm,false
sass-loader,https://www.npmjs.com/package/sass-loader,https://github.com/webpack-contrib/sass-loader,npm,false
tar,https://www.npmjs.com/package/tar,https://github.com/isaacs/node-tar,npm,true
merge-stream,https://www.npmjs.com/package/merge-stream,https://github.com/grncdr/merge-stream,npm,false
vue,https://www.npmjs.com/package/vue,https://github.com/vuejs/core,npm,true
cross-env,https://www.npmjs.com/package/cross-env,https://github.com/kentcdodds/cross-env,npm,false
autoprefixer,https://www.npmjs.com/package/autoprefixer,https://github.com/postcss/autoprefixer,npm,false
p-limit,https://www.npmjs.com/package/p-limit,https://github.com/sindresorhus/p-limit,npm,false
cosmiconfig,https://www.npmjs.com/package/cosmiconfig,https://github.com/cosmiconfig/cosmiconfig,npm,false
has-flag,https://www.npmjs.com/package/has-flag,https://github.com/sindresorhus/has-flag,npm,false
source-map-support,https://www.npmjs.com/package/source-map-support,https://github.com/evanw/node-source-map-support,npm,false
morgan,https://www.npmjs.com/package/morgan,https://github.com/expressjs/morgan,npm,false
through,https://www.npmjs.com/package/through,https://github.com/dominictarr/through,npm,false
xtend,https://www.npmjs.com/package/xtend,https://github.com/Raynos/xtend,npm,false
ansi-regex,https://www.npmjs.com/package/ansi-regex,https://github.com/chalk/ansi-regex,npm,false
whatwg-fetch,https://www.npmjs.com/package/whatwg-fetch,https://github.com/github/fetch,npm,false
estraverse,https://www.npmjs.com/package/estraverse,https://github.com/estools/estraverse,npm,false
babel-loader,https://www.npmjs.com/package/babel-loader,https://github.com/babel/babel-loader,npm,false
cliui,https://www.npmjs.com/package/cliui,https://github.com/yargs/cliui,npm,false
mocha,https://www.npmjs.com/package/mocha,https://github.com/mochajs/mocha,npm,false
yaml,https://www.npmjs.com/package/yaml,https://github.com/eemeli/yaml,npm,false
@types/express,https://www.npmjs.com/package/%40types%2Fexpress,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,false
http-proxy,https://www.npmjs.com/package/http-proxy,https://github.com/http-party/node-http-proxy,npm,false
