Name,Package URL,Github, Downloads
aws-sdk-elasticbeanstalk,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elasticbeanstalk,67212242
aws-sdk-lightsail,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lightsail,67170469
aws-sdk-codepipeline,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codepipeline,67166793
twilio-ruby,https://github.com/twilio/twilio-ruby,https://github.com/twilio/twilio-ruby,67044971
cucumber,https://cucumber.io/,https://github.com/cucumber/cucumber-ruby,66810492
aws-sdk-polly,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-polly,66710478
aws-sdk-budgets,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-budgets,66644747
redis-rails,http://redis-store.org/redis-rails,https://github.com/redis-store/redis-rails,66609666
jquery-ui-rails,https://github.com/joliss/jquery-ui-rails,https://github.com/joliss/jquery-ui-rails,66468508
aws-sdk-opsworks,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-opsworks,66308861
wasabi,https://github.com/savonrb/wasabi,https://github.com/savonrb/wasabi,66197323
aws-sdk-applicationdiscoveryservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-applicationdiscoveryservice,66142655
aws-sdk-mediaconvert,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mediaconvert,65959996
aws-sdk-waf,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-waf,65926432
aws-sdk-costandusagereportservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-costandusagereportservice,65925994
aws-sdk-route53domains,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-route53domains,65924424
aws-sdk-sms,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sms,65919389
aws-sdk-shield,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-shield,65863221
yajl-ruby,https://github.com/brianmario/yajl-ruby,http://github.com/brianmario/yajl-ruby,65769286
aws-sdk-gamelift,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-gamelift,65664807
aws-sdk-directoryservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-directoryservice,65663372
aws-sdk-storagegateway,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-storagegateway,65564329
aws-sdk-cognitoidentity,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cognitoidentity,65555523
aws-sdk-cloudhsm,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudhsm,65523334
google-apis-iamcredentials_v1,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-iamcredentials_v1,65478783
aws-sdk-appstream,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-appstream,65450570
aws-sdk-directconnect,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-directconnect,65371827
websocket,http://github.com/imanel/websocket-ruby,http://github.com/imanel/websocket-ruby,65349586
emoji_regex,https://github.com/ticky/ruby-emoji-regex,https://github.com/ticky/ruby-emoji-regex,65327065
aws-sdk-devicefarm,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-devicefarm,65292983
google-apis-storage_v1,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-storage_v1,65272142
akami,https://github.com/savonrb/akami,https://github.com/savonrb/akami,65260054
aws-sdk-cloudsearch,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudsearch,65217502
aws-sdk-guardduty,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-guardduty,65153385
dry-equalizer,https://github.com/dry-rb/dry-equalizer,https://github.com/dry-rb/dry-equalizer,64982863
tty-spinner,https://ttytoolkit.org,https://github.com/piotrmurach/tty-spinner,64970585
aws-sdk-medialive,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-medialive,64905369
aws-sdk-resourcegroupstaggingapi,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-resourcegroupstaggingapi,64803498
aws-sdk-greengrass,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-greengrass,64758021
fluent-plugin-elasticsearch,https://github.com/uken/fluent-plugin-elasticsearch,https://github.com/uken/fluent-plugin-elasticsearch,64752573
aws-sdk-costexplorer,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-costexplorer,64728550
mini_portile,http://github.com/flavorjones/mini_portile,https://github.com/flavorjones/mini_portile,64697259
aws-sdk-health,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-health,64674156
hiredis,http://github.com/redis/hiredis-rb,http://github.com/redis/hiredis-rb,64668278
aws-sdk-opsworkscm,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-opsworkscm,64656033
aws-sdk-lexmodelbuildingservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lexmodelbuildingservice,64649881
aws-sdk-lex,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-lex,64632779
ansi,http://rubyworks.github.com/ansi,http://github.com/rubyworks/ansi,64629069
