Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
babel-core,https://www.npmjs.com/package/babel-core,https://github.com/babel/babel,npm,100,true,true,true,true,true,true,true
rollup,https://www.npmjs.com/package/rollup,https://github.com/rollup/rollup,npm,87,true,true,true,true,true,true,true
marked,https://www.npmjs.com/package/marked,https://github.com/markedjs/marked,npm,100,true,true,true,true,true,true,true
ramda,https://www.npmjs.com/package/ramda,https://github.com/ramda/ramda,npm,62,true,true,false,true,true,false,false
react-router,https://www.npmjs.com/package/react-router,https://github.com/remix-run/react-router,npm,62,true,true,true,true,true,false,false
deepmerge,https://www.npmjs.com/package/deepmerge,https://github.com/TehShrike/deepmerge,npm,42,true,true,false,false,true,false,false
graphql,https://www.npmjs.com/package/graphql,https://github.com/graphql/graphql-js,npm,62,true,true,false,true,true,false,false
compression,https://www.npmjs.com/package/compression,https://github.com/expressjs/compression,npm,37,true,true,false,false,true,false,false
argparse,https://www.npmjs.com/package/argparse,https://github.com/nodeca/argparse,npm,50,true,true,false,false,true,false,false
core-js,https://www.npmjs.com/package/core-js,https://github.com/zloirock/core-js,npm,71,true,true,false,true,true,false,false
bootstrap,https://www.npmjs.com/package/bootstrap,https://github.com/twbs/bootstrap,npm,87,true,true,true,true,true,true,false
esprima,https://www.npmjs.com/package/esprima,https://github.com/jquery/esprima,npm,50,true,true,false,true,true,false,false
aws-sdk,https://www.npmjs.com/package/aws-sdk,https://github.com/aws/aws-sdk-js,npm,100,true,true,true,true,true,true,true
serve-static,https://www.npmjs.com/package/serve-static,https://github.com/expressjs/serve-static,npm,37,true,true,false,false,true,false,false
chokidar,https://www.npmjs.com/package/chokidar,https://github.com/paulmillr/chokidar,npm,57,true,true,false,false,true,false,false
source-map,https://www.npmjs.com/package/source-map,https://github.com/mozilla/source-map,npm,62,true,true,true,true,true,false,false
events,https://www.npmjs.com/package/events,https://github.com/Gozala/events,npm,50,true,true,false,false,true,false,false
mime-types,https://www.npmjs.com/package/mime-types,https://github.com/jshttp/mime-types,npm,37,true,true,false,false,true,false,false
ansi-styles,https://www.npmjs.com/package/ansi-styles,https://github.com/chalk/ansi-styles,npm,50,true,true,false,false,true,false,false
ini,https://www.npmjs.com/package/ini,https://github.com/npm/ini,npm,87,true,true,true,true,true,true,false
escape-string-regexp,https://www.npmjs.com/package/escape-string-regexp,https://github.com/sindresorhus/escape-string-regexp,npm,85,true,true,true,true,true,false,false
once,https://www.npmjs.com/package/once,https://github.com/isaacs/once,npm,42,true,true,false,false,true,false,false
mongodb,https://www.npmjs.com/package/mongodb,https://github.com/mongodb/node-mongodb-native,npm,75,true,true,true,true,true,true,false
date-fns,https://www.npmjs.com/package/date-fns,https://github.com/date-fns/date-fns,npm,50,true,true,false,true,true,false,false
through2,https://www.npmjs.com/package/through2,https://github.com/rvagg/through2,npm,42,true,true,false,false,true,false,false
react-router-dom,https://www.npmjs.com/package/react-router-dom,https://github.com/remix-run/react-router,npm,62,true,true,true,true,true,false,false
progress,https://www.npmjs.com/package/progress,https://github.com/visionmedia/node-progress,npm,37,true,true,false,false,true,false,false
find-up,https://www.npmjs.com/package/find-up,https://github.com/sindresorhus/find-up,npm,85,true,true,true,true,true,false,false
which,https://www.npmjs.com/package/which,https://github.com/npm/node-which,npm,87,true,true,true,true,true,true,false
@babel/core,https://www.npmjs.com/package/%40babel%2Fcore,https://github.com/babel/babel,npm,100,true,true,true,true,true,true,true
color-convert,https://www.npmjs.com/package/color-convert,https://github.com/Qix-/color-convert,npm,42,true,true,false,false,true,false,false
npm,https://www.npmjs.com/package/npm,https://github.com/npm/cli,npm,100,true,true,true,true,true,true,true
nanoid,https://www.npmjs.com/package/nanoid,https://github.com/ai/nanoid,npm,42,true,true,false,false,true,false,false
clone,https://www.npmjs.com/package/clone,https://github.com/pvorb/node-clone,npm,57,true,true,false,false,true,true,false
ts-node,https://www.npmjs.com/package/ts-node,https://github.com/TypeStrong/ts-node,npm,75,true,true,false,true,true,false,false
redux,https://www.npmjs.com/package/redux,https://github.com/reduxjs/redux,npm,87,true,true,true,true,true,true,true
yargs-parser,https://www.npmjs.com/package/yargs-parser,https://github.com/yargs/yargs-parser,npm,37,true,true,false,false,true,false,false
ip,https://www.npmjs.com/package/ip,https://github.com/indutny/node-ip,npm,28,true,true,false,false,false,false,false
react-redux,https://www.npmjs.com/package/react-redux,https://github.com/reduxjs/react-redux,npm,75,true,true,true,true,true,false,true
nodemon,https://www.npmjs.com/package/nodemon,https://github.com/remy/nodemon,npm,85,true,true,true,true,true,false,false
eventemitter3,https://www.npmjs.com/package/eventemitter3,https://github.com/primus/eventemitter3,npm,37,true,true,false,false,true,false,false
htmlparser2,https://www.npmjs.com/package/htmlparser2,https://github.com/fb55/htmlparser2,npm,57,true,true,false,false,true,false,false
extend,https://www.npmjs.com/package/extend,https://github.com/justmoon/node-extend,npm,57,true,true,false,false,true,false,false
@types/react,https://www.npmjs.com/package/%40types%2Freact,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,62,true,true,false,false,true,true,false
q,https://www.npmjs.com/package/q,https://github.com/kriskowal/q,npm,57,true,true,false,true,true,false,false
crypto-js,https://www.npmjs.com/package/crypto-js,https://github.com/brix/crypto-js,npm,50,true,true,false,true,true,false,false
@babel/runtime,https://www.npmjs.com/package/%40babel%2Fruntime,https://github.com/babel/babel,npm,100,true,true,true,true,true,true,true
immutable,https://www.npmjs.com/package/immutable,https://github.com/immutable-js/immutable-js,npm,50,true,true,false,true,true,false,false
sprintf-js,https://www.npmjs.com/package/sprintf-js,https://github.com/alexei/sprintf.js,npm,42,true,true,false,false,true,false,false
safe-buffer,https://www.npmjs.com/package/safe-buffer,https://github.com/feross/safe-buffer,npm,42,true,true,false,false,true,false,false
sass-loader,https://www.npmjs.com/package/sass-loader,https://github.com/webpack-contrib/sass-loader,npm,62,true,true,false,true,true,true,false
tar,https://www.npmjs.com/package/tar,https://github.com/isaacs/node-tar,npm,71,true,true,true,false,true,false,false
merge-stream,https://www.npmjs.com/package/merge-stream,https://github.com/grncdr/merge-stream,npm,42,true,true,false,false,true,false,false
vue,https://www.npmjs.com/package/vue,https://github.com/vuejs/core,npm,62,true,true,false,true,true,false,false
cross-env,https://www.npmjs.com/package/cross-env,https://github.com/kentcdodds/cross-env,npm,71,true,true,false,true,true,true,false
autoprefixer,https://www.npmjs.com/package/autoprefixer,https://github.com/postcss/autoprefixer,npm,50,true,true,false,true,true,false,false
p-limit,https://www.npmjs.com/package/p-limit,https://github.com/sindresorhus/p-limit,npm,85,true,true,true,true,true,false,false
cosmiconfig,https://www.npmjs.com/package/cosmiconfig,https://github.com/cosmiconfig/cosmiconfig,npm,50,true,true,true,false,true,false,false
has-flag,https://www.npmjs.com/package/has-flag,https://github.com/sindresorhus/has-flag,npm,85,true,true,true,true,true,false,false
source-map-support,https://www.npmjs.com/package/source-map-support,https://github.com/evanw/node-source-map-support,npm,42,true,true,false,false,true,false,false
morgan,https://www.npmjs.com/package/morgan,https://github.com/expressjs/morgan,npm,37,true,true,false,false,true,false,false
through,https://www.npmjs.com/package/through,https://github.com/dominictarr/through,npm,42,true,true,false,false,true,false,false
xtend,https://www.npmjs.com/package/xtend,https://github.com/Raynos/xtend,npm,42,true,true,false,false,true,false,false
ansi-regex,https://www.npmjs.com/package/ansi-regex,https://github.com/chalk/ansi-regex,npm,50,true,true,false,false,true,false,false
whatwg-fetch,https://www.npmjs.com/package/whatwg-fetch,https://github.com/github/fetch,npm,85,true,true,true,true,true,false,false
estraverse,https://www.npmjs.com/package/estraverse,https://github.com/estools/estraverse,npm,37,true,true,false,false,true,false,false
babel-loader,https://www.npmjs.com/package/babel-loader,https://github.com/babel/babel-loader,npm,75,true,true,true,true,true,true,false
cliui,https://www.npmjs.com/package/cliui,https://github.com/yargs/cliui,npm,37,true,true,false,false,true,false,false
mocha,https://www.npmjs.com/package/mocha,https://github.com/mochajs/mocha,npm,75,true,true,true,true,true,true,false
yaml,https://www.npmjs.com/package/yaml,https://github.com/eemeli/yaml,npm,85,true,true,false,true,true,false,false
@types/express,https://www.npmjs.com/package/%40types%2Fexpress,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,62,true,true,false,false,true,true,false
http-proxy,https://www.npmjs.com/package/http-proxy,https://github.com/http-party/node-http-proxy,npm,50,true,true,true,false,true,false,false
browserslist,https://www.npmjs.com/package/browserslist,https://github.com/browserslist/browserslist,npm,37,true,true,false,false,true,false,false
css-loader,https://www.npmjs.com/package/css-loader,https://github.com/webpack-contrib/css-loader,npm,62,true,true,false,true,true,true,false
styled-components,https://www.npmjs.com/package/styled-components,https://github.com/styled-components/styled-components,npm,62,true,true,true,true,true,false,false
@babel/preset-env,https://www.npmjs.com/package/%40babel%2Fpreset-env,https://github.com/babel/babel,npm,100,true,true,true,true,true,true,true
regenerator-runtime,https://www.npmjs.com/package/regenerator-runtime,https://github.com/facebook/regenerator/tree/main,npm,75,true,true,true,true,true,false,false
html-webpack-plugin,https://www.npmjs.com/package/html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,npm,57,true,true,false,false,true,false,false
mongoose,https://www.npmjs.com/package/mongoose,https://github.com/Automattic/mongoose,npm,75,true,true,false,true,true,true,false
handlebars,https://www.npmjs.com/package/handlebars,https://github.com/handlebars-lang/handlebars.js,npm,75,true,true,false,true,true,true,false
https-proxy-agent,https://www.npmjs.com/package/https-proxy-agent,https://github.com/TooTallNate/proxy-agents,npm,28,true,true,false,false,false,false,false
pg,https://www.npmjs.com/package/pg,https://github.com/brianc/node-postgres,npm,42,true,true,false,false,true,false,false
js-cookie,https://www.npmjs.com/package/js-cookie,https://github.com/js-cookie/js-cookie,npm,75,true,true,false,true,true,false,false
sass,https://www.npmjs.com/package/sass,https://github.com/sass/dart-sass,npm,62,true,true,true,true,true,false,false
brace-expansion,https://www.npmjs.com/package/brace-expansion,https://github.com/juliangruber/brace-expansion,npm,42,true,true,false,false,true,false,false
dayjs,https://www.npmjs.com/package/dayjs,https://github.com/iamkun/dayjs,npm,71,true,true,false,true,true,false,false
socket.io,https://www.npmjs.com/package/socket.io,https://github.com/socketio/socket.io,npm,75,true,true,false,false,true,true,true
slash,https://www.npmjs.com/package/slash,https://github.com/sindresorhus/slash,npm,85,true,true,true,true,true,false,false
nopt,https://www.npmjs.com/package/nopt,https://github.com/npm/nopt,npm,87,true,true,true,true,true,true,false
base64-js,https://www.npmjs.com/package/base64-js,https://github.com/beatgammit/base64-js,npm,42,true,true,false,false,true,false,false
got,https://www.npmjs.com/package/got,https://github.com/sindresorhus/got,npm,100,true,true,true,true,true,true,false
expect,https://www.npmjs.com/package/expect,https://github.com/jestjs/jest,npm,75,true,true,true,true,true,true,false
express-session,https://www.npmjs.com/package/express-session,https://github.com/expressjs/session,npm,37,true,true,false,false,true,false,false
punycode,https://www.npmjs.com/package/punycode,https://github.com/mathiasbynens/punycode.js,npm,42,true,true,false,false,true,false,false
jsonfile,https://www.npmjs.com/package/jsonfile,https://github.com/jprichardson/node-jsonfile,npm,42,true,true,false,false,true,false,false
nodemailer,https://www.npmjs.com/package/nodemailer,https://github.com/nodemailer/nodemailer,npm,75,true,true,true,false,true,true,true
escodegen,https://www.npmjs.com/package/escodegen,https://github.com/estools/escodegen,npm,37,true,true,false,false,true,false,false
fast-glob,https://www.npmjs.com/package/fast-glob,https://github.com/mrmlnc/fast-glob,npm,85,true,true,true,true,true,true,false
raw-body,https://www.npmjs.com/package/raw-body,https://github.com/stream-utils/raw-body,npm,50,true,true,false,false,true,false,false
resolve-from,https://www.npmjs.com/package/resolve-from,https://github.com/sindresorhus/resolve-from,npm,85,true,true,true,true,true,false,false
yallist,https://www.npmjs.com/package/yallist,https://github.com/isaacs/yallist,npm,57,true,true,false,true,true,false,false
style-loader,https://www.npmjs.com/package/style-loader,https://github.com/webpack-contrib/style-loader,npm,62,true,true,false,true,true,true,false
get-stream,https://www.npmjs.com/package/get-stream,https://github.com/sindresorhus/get-stream,npm,85,true,true,true,true,true,false,false
webpack-merge,https://www.npmjs.com/package/webpack-merge,https://github.com/survivejs/webpack-merge,npm,62,true,true,false,true,true,false,false
isarray,https://www.npmjs.com/package/isarray,https://github.com/juliangruber/isarray,npm,71,true,true,false,true,true,false,false
pretty-format,https://www.npmjs.com/package/pretty-format,https://github.com/jestjs/jest,npm,75,true,true,true,true,true,true,false
helmet,https://www.npmjs.com/package/helmet,https://github.com/helmetjs/helmet,npm,75,true,true,true,true,true,false,false
make-dir,https://www.npmjs.com/package/make-dir,https://github.com/sindresorhus/make-dir,npm,85,true,true,true,true,true,false,false
deep-equal,https://www.npmjs.com/package/deep-equal,https://github.com/inspect-js/node-deep-equal,npm,75,true,true,true,true,true,false,false
eslint-config-prettier,https://www.npmjs.com/package/eslint-config-prettier,https://github.com/prettier/eslint-config-prettier,npm,37,true,true,false,false,true,false,false
protobufjs,https://www.npmjs.com/package/protobufjs,https://github.com/protobufjs/protobuf.js,npm,37,true,true,false,false,true,false,false
del,https://www.npmjs.com/package/del,https://github.com/sindresorhus/del,npm,85,true,true,true,true,true,false,false
sinon,https://www.npmjs.com/package/sinon,https://github.com/sinonjs/sinon,npm,75,true,true,true,true,true,true,false
ignore,https://www.npmjs.com/package/ignore,https://github.com/kaelzhang/node-ignore,npm,42,true,true,false,false,true,false,false
superagent,https://www.npmjs.com/package/superagent,https://github.com/ladjs/superagent,npm,87,true,true,true,true,true,true,false
util,https://www.npmjs.com/package/util,https://github.com/browserify/node-util,npm,50,true,true,false,false,true,false,false
gulp,https://www.npmjs.com/package/gulp,https://github.com/gulpjs/gulp,npm,75,true,true,false,true,true,false,false
jsesc,https://www.npmjs.com/package/jsesc,https://github.com/mathiasbynens/jsesc,npm,42,true,true,false,false,true,false,false
globby,https://www.npmjs.com/package/globby,https://github.com/sindresorhus/globby,npm,85,true,true,true,true,true,false,false
react-transition-group,https://www.npmjs.com/package/react-transition-group,https://github.com/reactjs/react-transition-group,npm,50,true,true,false,false,true,false,false
type-fest,https://www.npmjs.com/package/type-fest,https://github.com/sindresorhus/type-fest,npm,100,true,true,true,true,true,true,false
webpack-dev-server,https://www.npmjs.com/package/webpack-dev-server,https://github.com/webpack/webpack-dev-server,npm,75,true,true,true,true,true,true,false
color-name,https://www.npmjs.com/package/color-name,https://github.com/colorjs/color-name,npm,37,true,true,false,false,true,false,false
entities,https://www.npmjs.com/package/entities,https://github.com/fb55/entities,npm,42,true,true,false,false,true,false,false
moment-timezone,https://www.npmjs.com/package/moment-timezone,https://github.com/moment/moment-timezone,npm,50,true,true,false,true,true,false,false
react-is,https://www.npmjs.com/package/react-is,https://github.com/facebook/react,npm,100,true,true,true,true,true,true,true
prompts,https://www.npmjs.com/package/prompts,https://github.com/terkelg/prompts,npm,57,true,true,false,false,true,false,false
string-width,https://www.npmjs.com/package/string-width,https://github.com/sindresorhus/string-width,npm,85,true,true,true,true,true,false,false
is-number,https://www.npmjs.com/package/is-number,https://github.com/jonschlinkert/is-number,npm,42,true,true,false,false,true,false,false
on-finished,https://www.npmjs.com/package/on-finished,https://github.com/jshttp/on-finished,npm,37,true,true,false,false,true,false,false
babel-jest,https://www.npmjs.com/package/babel-jest,https://github.com/jestjs/jest,npm,75,true,true,true,true,true,true,false
connect,https://www.npmjs.com/package/connect,https://github.com/senchalabs/connect,npm,50,true,true,false,false,true,false,false
is-stream,https://www.npmjs.com/package/is-stream,https://github.com/sindresorhus/is-stream,npm,85,true,true,true,true,true,false,false
