Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std,totalContributors
org.mnode.ical4j:ical4j,http://ical4j.github.io,https://github.com/ical4j/ical4j,maven,0.024550791674079343,0.0004892367906066536,0.9995107632093934,0.0004892367906066536,0.0004892367906066536,0.0014677103718199608,0.148788405131123,44
ru.yandex.clickhouse:clickhouse-jdbc,https://github.com/ClickHouse/clickhouse-jdbc/tree/master/clickhouse-jdbc,https://github.com/ClickHouse/clickhouse-jdbc,maven,0.01879746835443038,0.0015822784810126582,0.9984177215189873,0.0015822784810126582,0.0015822784810126582,0.004746835443037975,0.10291606323185144,100
com.sun.activation:jakarta.activation,https://github.com/eclipse-ee4j/jaf,https://github.com/eclipse-ee4j/jaf,maven,0.20408163265306123,0.047619047619047616,0.9761904761904762,0.023809523809523808,0.047619047619047616,0.19047619047619047,0.3317154963681941,14
com.github.stephenc.findbugs:findbugs-annotations,http://stephenc.github.com/findbugs-annotations,https://github.com/stephenc/findbugs-annotations,maven,0.4705882352941176,0.23529411764705882,0.8235294117647058,0.17647058823529413,0.23529411764705882,1,0.3751201268570391,3
com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,https://github.com/OWASP/java-html-sanitizer,https://github.com/OWASP/java-html-sanitizer,maven,0.05698529411764706,0.003676470588235294,0.9963235294117647,0.003676470588235294,0.003676470588235294,0.007352941176470588,0.21654848692286285,20
jakarta.transaction:jakarta.transaction-api,https://projects.eclipse.org/projects/ee4j.jta,https://github.com/eclipse-ee4j/jta-api,maven,0.15897435897435896,0.07692307692307693,0.9807692307692307,0.038461538461538464,0.07692307692307693,0.21153846153846154,0.24116199089287174,15
jp.wasabeef:glide-transformations,https://github.com/wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,maven,0.0694813829787234,0.005319148936170213,0.9946808510638298,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.2403236341300864,16
org.apache.rocketmq:rocketmq-spring-boot-starter,https://github.com/apache/rocketmq-spring,https://github.com/apache/rocketmq-spring,maven,0.07846829880728186,0.01694915254237288,0.9830508474576272,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.1598745710062351,54
io.opentracing:opentracing-api,https://github.com/opentracing/opentracing-java,https://github.com/opentracing/opentracing-java,maven,0.0724264705882353,0.023529411764705882,0.9882352941176471,0.011764705882352941,0.023529411764705882,0.058823529411764705,0.17720702647909878,32
com.jakewharton.retrofit:retrofit2-rxjava2-adapter,http://nexus.sonatype.org/oss-repository-hosting.html,https://github.com/JakeWharton/retrofit2-rxjava2-adapter,maven,0.6428571428571428,1,0.7142857142857143,0.2857142857142857,1,1,0.3571428571428572,2
io.opencensus:opencensus-api,https://github.com/census-instrumentation/opencensus-java,https://github.com/census-instrumentation/opencensus-java,maven,0.039032567049808425,0.0030864197530864196,0.9984567901234568,0.0015432098765432098,0.0030864197530864196,0.007716049382716049,0.15090379218037317,58
io.seata:seata-all,https://seata.io,https://github.com/seata/seata,maven,0.04098958333333333,0.013020833333333334,0.9947916666666666,0.0078125,0.013020833333333334,0.036458333333333336,0.10766874725882494,100
org.androidannotations:androidannotations-api,http://androidannotations.org,https://github.com/androidannotations/androidannotations,maven,0.06105724838411819,0.003289473684210526,0.9983552631578947,0.001644736842105263,0.003289473684210526,0.01644736842105263,0.17868090549374469,57
jakarta.inject:jakarta.inject-api,https://github.com/eclipse-ee4j/injection-api,https://github.com/eclipse-ee4j/injection-api,maven,0.48571428571428565,0.19047619047619047,0.9047619047619048,0.19047619047619047,0.19047619047619047,0.9523809523809523,0.4022611825131976,5
